epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,4479,0.34889,0.28105,0.82653,0.58545,0.59123,0.57315,0.34531,1.62457,1.23415,1.28002,0.0002377,0.0002377,0.0002377
79,4536.41,0.34372,0.27326,0.82441,0.56731,0.59281,0.56672,0.33787,1.62976,1.23755,1.28968,0.0002278,0.0002278,0.0002278
80,4593.65,0.35176,0.28074,0.82824,0.57328,0.5722,0.56113,0.33765,1.63227,1.2628,1.2901,0.0002179,0.0002179,0.0002179
81,4650.74,0.34319,0.27335,0.82668,0.61476,0.56666,0.57997,0.35364,1.62312,1.21914,1.28572,0.000208,0.000208,0.000208
82,4707.94,0.34025,0.27174,0.82516,0.62429,0.55068,0.58652,0.35886,1.62953,1.20888,1.28566,0.0001981,0.0001981,0.0001981
83,4764.99,0.33428,0.26792,0.82255,0.61562,0.58384,0.58625,0.35727,1.6309,1.22332,1.28254,0.0001882,0.0001882,0.0001882
84,4821.84,0.32794,0.26651,0.82154,0.60777,0.58529,0.58926,0.36,1.63935,1.22756,1.28759,0.0001783,0.0001783,0.0001783
85,4878.8,0.32305,0.26141,0.82262,0.66492,0.54842,0.59322,0.36012,1.63877,1.21764,1.29695,0.0001684,0.0001684,0.0001684
86,4936.27,0.33305,0.26762,0.82514,0.6196,0.56979,0.59209,0.3601,1.63232,1.21888,1.28838,0.0001585,0.0001585,0.0001585
87,4993.2,0.33498,0.27138,0.82527,0.62279,0.57522,0.58907,0.36001,1.63572,1.2267,1.28807,0.0001486,0.0001486,0.0001486
88,5050.04,0.32742,0.2639,0.82256,0.59739,0.59694,0.59483,0.36237,1.62596,1.22759,1.28607,0.0001387,0.0001387,0.0001387
89,5107.14,0.32096,0.25892,0.82189,0.61504,0.58446,0.6024,0.36645,1.6158,1.21621,1.28085,0.0001288,0.0001288,0.0001288
90,5164.19,0.3178,0.25951,0.82155,0.61696,0.57937,0.60356,0.36995,1.62473,1.2315,1.28591,0.0001189,0.0001189,0.0001189
91,5221.49,1.23822,0.91577,1.09202,0.6208,0.57138,0.60826,0.37233,1.6205,1.19934,1.27779,0.000109,0.000109,0.000109
92,5278.8,1.20815,0.88798,1.07824,0.61195,0.57822,0.59362,0.36801,1.61442,1.2043,1.28303,9.91e-05,9.91e-05,9.91e-05
93,5335.88,1.1973,0.8648,1.07126,0.59672,0.59316,0.60296,0.37134,1.60941,1.19075,1.27889,8.92e-05,8.92e-05,8.92e-05
94,5392.84,1.17944,0.86012,1.06736,0.61292,0.58454,0.60647,0.37383,1.61513,1.19408,1.28173,7.93e-05,7.93e-05,7.93e-05
95,5450.04,1.17559,0.8492,1.05988,0.62056,0.58239,0.60407,0.36965,1.62401,1.19681,1.28368,6.94e-05,6.94e-05,6.94e-05
96,5506.89,1.1725,0.84278,1.05882,0.60656,0.59423,0.60465,0.37119,1.63183,1.19857,1.28766,5.95e-05,5.95e-05,5.95e-05
97,5564.04,1.15198,0.82733,1.05208,0.60927,0.58993,0.60623,0.37304,1.6256,1.19693,1.28407,4.96e-05,4.96e-05,4.96e-05
98,5621.03,1.1545,0.82622,1.0522,0.6131,0.58116,0.6054,0.37076,1.62589,1.20088,1.28501,3.97e-05,3.97e-05,3.97e-05
99,5678.1,1.1433,0.81479,1.05351,0.61276,0.58921,0.60357,0.37076,1.62568,1.19604,1.28427,2.98e-05,2.98e-05,2.98e-05
100,5735.09,1.13593,0.80865,1.04178,0.61483,0.5882,0.60309,0.3689,1.62922,1.1984,1.28947,1.99e-05,1.99e-05,1.99e-05
